sla_event_id,exception_id,sla_type,sla_start_timestamp,sla_due_timestamp,sla_breached_flag,breach_minutes,escalation_required,sla_status
SLA_DEMO_BREACH_001,EXC_DEMO_001,PAYMENT_EXCEPTION_RESOLUTION,2026-03-11T09:35:00,2026-03-11T13:35:00,TRUE,75,TRUE,BREACHED
SLA_SYN_0000002,EXC_SYN_0000002,PAYMENT_EXCEPTION_RESOLUTION,2025-12-18T14:26:00,2025-12-18T22:26:00,FALSE,0,FALSE,MET
SLA_SYN_0000003,EXC_SYN_0000003,PAYMENT_EXCEPTION_RESOLUTION,2026-01-17T13:22:00,2026-01-17T21:22:00,FALSE,0,FALSE,MET
SLA_SYN_0000004,EXC_SYN_0000004,PAYMENT_EXCEPTION_RESOLUTION,2025-11-25T11:31:00,2025-11-25T15:31:00,TRUE,158909,TRUE,BREACHED
SLA_SYN_0000005,EXC_SYN_0000005,PAYMENT_EXCEPTION_RESOLUTION,2025-11-19T15:52:00,2025-11-19T19:52:00,FALSE,0,FALSE,MET
SLA_SYN_0000006,EXC_SYN_0000006,PAYMENT_EXCEPTION_RESOLUTION,2025-11-25T11:30:00,2025-11-25T19:30:00,FALSE,0,FALSE,MET
SLA_SYN_0000007,EXC_SYN_0000007,PAYMENT_EXCEPTION_RESOLUTION,2026-01-20T13:17:00,2026-01-20T17:17:00,TRUE,37,TRUE,BREACHED
SLA_SYN_0000008,EXC_SYN_0000008,PAYMENT_EXCEPTION_RESOLUTION,2026-03-05T14:07:00,2026-03-05T22:07:00,TRUE,14513,FALSE,BREACHED
SLA_SYN_0000009,EXC_SYN_0000009,PAYMENT_EXCEPTION_RESOLUTION,2026-02-03T12:36:00,2026-02-03T20:36:00,FALSE,0,FALSE,MET
SLA_SYN_0000010,EXC_SYN_0000010,PAYMENT_EXCEPTION_RESOLUTION,2026-01-28T12:12:00,2026-01-28T20:12:00,FALSE,0,FALSE,MET
SLA_SYN_0000011,EXC_SYN_0000011,PAYMENT_EXCEPTION_RESOLUTION,2026-02-04T18:44:00,2026-02-05T02:44:00,FALSE,0,FALSE,MET
SLA_SYN_0000012,EXC_SYN_0000012,PAYMENT_EXCEPTION_RESOLUTION,2026-03-01T17:43:00,2026-03-01T21:43:00,TRUE,20297,TRUE,BREACHED
SLA_SYN_0000013,EXC_SYN_0000013,PAYMENT_EXCEPTION_RESOLUTION,2025-12-01T19:50:00,2025-12-02T03:50:00,FALSE,0,FALSE,MET
SLA_SYN_0000014,EXC_SYN_0000014,PAYMENT_EXCEPTION_RESOLUTION,2026-01-26T19:33:00,2026-01-27T03:33:00,TRUE,44,FALSE,BREACHED
SLA_SYN_0000015,EXC_SYN_0000015,PAYMENT_EXCEPTION_RESOLUTION,2026-02-23T12:20:00,2026-02-23T16:20:00,FALSE,0,FALSE,MET
SLA_SYN_0000016,EXC_SYN_0000016,PAYMENT_EXCEPTION_RESOLUTION,2026-02-28T18:35:00,2026-02-28T22:35:00,TRUE,21685,TRUE,BREACHED
SLA_SYN_0000017,EXC_SYN_0000017,PAYMENT_EXCEPTION_RESOLUTION,2025-11-28T16:54:00,2025-11-29T00:54:00,FALSE,0,FALSE,MET
SLA_SYN_0000018,EXC_SYN_0000018,PAYMENT_EXCEPTION_RESOLUTION,2026-01-26T12:29:00,2026-01-26T16:29:00,FALSE,0,FALSE,MET
SLA_SYN_0000019,EXC_SYN_0000019,PAYMENT_EXCEPTION_RESOLUTION,2025-12-24T13:59:00,2025-12-24T21:59:00,FALSE,0,FALSE,MET
